	rating	reviews	reviews_punctuation_free
0	5.0	"It's been awhile, since I've reviewed a restaurant...Hide (above), because there are three distinct levels is a wonderful, new, bright, and well thought out restaurant.  I had the pre fixed dinner with the ""discovery"" wine pairing.I was blown away by this seven course meal.  I'm lying,  I took advantage of the optionap course (Foie Gras).This restaurant has only been open since April 2018 and they already have a Michelin Star,  Bravo.Here are the highlights...-Baby leek soup with Truffle and truffle oil,  great first course.-Gently cook egg.  This was soooooo decadent and perfect...it was served on Hide's signature Cloche and Nest.-Wagyu beef in Ox broth.  Wow,  served raw and lightly cooked in the broth...delicious.-Baked Alaska,  fun, fun, fun.  This dessert take awhile so they'll have you order it in the beginning. Wine Pairings,  were very well thought out.  And the Discovery Pairing lives up to its name.  The wines whisked me from Austraila, Japan, and to the Czech Republic, to name a few.Our servers Maria were Dian fantastic.  Our Maitre'D, Vincenzo (Of Naples) recognized that I was genuinely in love with the menu and gave me a tour of the restaurant, I even met the Chef's.Hide,  Bravo Bravo!!!"	it s been awhile  since i ve reviewed a restaurant   hide  above   because there are three distinct levels is a wonderful  new  bright  and well thought out restaurant   i had the pre fixed dinner with the  discovery  wine pairing i was blown away by this seven course meal   i m lying   i took advantage of the optionap course  foie gras  this restaurant has only been open since april 2018 and they already have a michelin star   bravo here are the highlights    baby leek soup with truffle and truffle oil   great first course  gently cook egg   this was soooooo decadent and perfect   it was served on hide s signature cloche and nest  wagyu beef in ox broth   wow   served raw and lightly cooked in the broth   delicious  baked alaska   fun  fun  fun   this dessert take awhile so they ll have you order it in the beginning  wine pairings   were very well thought out   and the discovery pairing lives up to its name   the wines whisked me from austraila  japan  and to the czech republic  to name a few our servers maria were dian fantastic   our maitre d  vincenzo  of naples  recognized that i was genuinely in love with the menu and gave me a tour of the restaurant  i even met the chef s hide   bravo bravo   
1	4.0	Good food, great vibes, but overpriced.GROUND- The food is creative in taste and presentation, I had the chicken liver parfait - bread to parfait ratio was baddeer tartare - presented like mini tacos and had minimal deer inside for the price point black truffle pasta - which was my favorite dish (but have you ever had a bad pasta and black truffle dish?) split pea soup - I appreciated the craftsmanship, but it didn't leave me wowed.BAR- Amazing cocktail and wine menu, super sexy vibes, and interactive mixologists who add to the experience.	good food  great vibes  but overpriced ground  the food is creative in taste and presentation  i had the chicken liver parfait   bread to parfait ratio was baddeer tartare   presented like mini tacos and had minimal deer inside for the price point black truffle pasta   which was my favorite dish  but have you ever had a bad pasta and black truffle dish   split pea soup   i appreciated the craftsmanship  but it didn t leave me wowed bar  amazing cocktail and wine menu  super sexy vibes  and interactive mixologists who add to the experience 
2	5.0	So... one of our children's fave place to eat during our visit.  Food was outstanding, staff was amazingly awesome.  Great experience overall.Food had unique and delicious flavor... this place is somewhat new- but I have joe it will be there for many years to come	so    one of our children s fave place to eat during our visit   food was outstanding  staff was amazingly awesome   great experience overall food had unique and delicious flavor    this place is somewhat new  but i have joe it will be there for many years to come
3	4.0	"Hide has three levels and we tried the Ground floor. Upon entering, you see a stunning staircase and then you take in the rest of the decor which has an elegant cozy vibe. Service was efficient and food was quite good. Unfortunately we had already stuffed ourselves earlier in the week so ate ""light"" trying their bread sampler and a couple of entrees."	hide has three levels and we tried the ground floor  upon entering  you see a stunning staircase and then you take in the rest of the decor which has an elegant cozy vibe  service was efficient and food was quite good  unfortunately we had already stuffed ourselves earlier in the week so ate  light  trying their bread sampler and a couple of entrees 
4	5.0	"Wow!  This is a great ""find"".  We started with a cocktail at the bar on the lowest floor and we then had a relaxing dinner at Ground with delicious food.  The attention to detail is remarkable (in decor, drink and food) and they somehow made the delicate balance where you felt like you were having a special meal but it was not pretentious or stuffy.  The table shared simple starters (and the flatbread was great). I then had a burrata dish and then a monkfish dish and then I ended with acorn cake.  If you want a ""yelp worthy"" photo, order the scallop ceviche.  Trust me.  Everything was delightful and the restaurant had a great buzz on a Monday.  Later in the week must get even better!"	wow   this is a great  find    we started with a cocktail at the bar on the lowest floor and we then had a relaxing dinner at ground with delicious food   the attention to detail is remarkable  in decor  drink and food  and they somehow made the delicate balance where you felt like you were having a special meal but it was not pretentious or stuffy   the table shared simple starters  and the flatbread was great   i then had a burrata dish and then a monkfish dish and then i ended with acorn cake   if you want a  yelp worthy  photo  order the scallop ceviche   trust me   everything was delightful and the restaurant had a great buzz on a monday   later in the week must get even better 
5	4.0	The Hide is an interesting new restaurant in central London offering two different restaurants on it's two levels with separate menus, as well as a bar in the basement. I only ate at the ground level restaurant, and I was fairly disappointed in the roast chicken as I thought it wasn't up to the quality of a nice restaurant. I appear to be in good company as in the 3 weeks since I visited it seems to have been taken off the menu on the website. Overall I'd say this place was great with a cosy atmosphere right in the heart of London. The Acorn cake dessert is a must try, it is like a large danish pastry (but drier and with more texture) served hot with a choice of liquors to pour over the cake. I've never tried anything like it and would love to come by and have it again.	the hide is an interesting new restaurant in central london offering two different restaurants on it s two levels with separate menus  as well as a bar in the basement  i only ate at the ground level restaurant  and i was fairly disappointed in the roast chicken as i thought it wasn t up to the quality of a nice restaurant  i appear to be in good company as in the 3 weeks since i visited it seems to have been taken off the menu on the website  overall i d say this place was great with a cosy atmosphere right in the heart of london  the acorn cake dessert is a must try  it is like a large danish pastry  but drier and with more texture  served hot with a choice of liquors to pour over the cake  i ve never tried anything like it and would love to come by and have it again 
6	5.0	Ollie Dabbous has done it again. The exemplary culinary techniques, flavours and service of his previous eponymous restaurant have been effortlessly transported to 85 Piccadilly. There are three spaces named below, ground and above, serving different fare. Breakfast below, a la carte on the ground and degustations above. The masculine interior, framed with giant wooden doors, bronzed metal fittings and an amazing sculptural staircase are offset by the more feminine floor to ceiling view of green park and the amorphous, dreamy attire of the wait staff. If you are dining above, you have the choice of a lunchtime menu (currently 42 pounds) and the full eight course menu (twice that). The former might seem pricey, but if you've dined at Dabbous' restaurants, you'll know its good value, by the time you receive your multiple amuse bouches and petit fours, you'll come away more than satisfied. Clever design extends to the menu - 'hidden' inside an embossed folder and an iPad-based wine list linked to a nearby wine store, from which the staff can bring you anything you desire with ten minutes notice and decant it to perfection. With quiet, gentle and persistent attention, you will feel well looked after as you ooh and aah at each dish (which I know I haven't even yet described). I won't spoil all the thrills, but I'll say the mushroom broth was true umami unctuousness; the house-cured goose and pork served on a feather and china bone were exquisite; the beetroot tartare was perfectly balanced between the sweetness of the beetroot, the crunchiness of the pistachio base, the coolness of the cream and the warmth of the horseradish; and the chocolate stout egg was layers of malty goodness wrapped in a cool and crunchy shell, lying upon a delicate nest of milk chocolate, surrounded by toasted rice dipped in gold leaf. Now, for all its fanciness, I dare you to find me a better meal in all of London!	ollie dabbous has done it again  the exemplary culinary techniques  flavours and service of his previous eponymous restaurant have been effortlessly transported to 85 piccadilly  there are three spaces named below  ground and above  serving different fare  breakfast below  a la carte on the ground and degustations above  the masculine interior  framed with giant wooden doors  bronzed metal fittings and an amazing sculptural staircase are offset by the more feminine floor to ceiling view of green park and the amorphous  dreamy attire of the wait staff  if you are dining above  you have the choice of a lunchtime menu  currently 42 pounds  and the full eight course menu  twice that   the former might seem pricey  but if you ve dined at dabbous  restaurants  you ll know its good value  by the time you receive your multiple amuse bouches and petit fours  you ll come away more than satisfied  clever design extends to the menu    hidden  inside an embossed folder and an ipad based wine list linked to a nearby wine store  from which the staff can bring you anything you desire with ten minutes notice and decant it to perfection  with quiet  gentle and persistent attention  you will feel well looked after as you ooh and aah at each dish  which i know i haven t even yet described   i won t spoil all the thrills  but i ll say the mushroom broth was true umami unctuousness  the house cured goose and pork served on a feather and china bone were exquisite  the beetroot tartare was perfectly balanced between the sweetness of the beetroot  the crunchiness of the pistachio base  the coolness of the cream and the warmth of the horseradish  and the chocolate stout egg was layers of malty goodness wrapped in a cool and crunchy shell  lying upon a delicate nest of milk chocolate  surrounded by toasted rice dipped in gold leaf  now  for all its fanciness  i dare you to find me a better meal in all of london 
7	5.0	Hide has 3 levels: this review is for Hide Above. For starters, the restaurant itself is gorgeous, with a spectacular staircase leading you to the upper dining room. This perfectly sets the stage for a wonderful dinner: our tasting menu with wine pairing was nothing short of phenomenal. Each of the dishes was masterfully prepared and presented and the wines perfectly matched. Service was superb with all of the attendants making sure that we were comfortable throughout our stay. As an added bonus, we were invited to meet the staff and tour the kitchen--what a wonderful way to end a great dining experience! Definitely worth a visit if you are looking for something special.	hide has 3 levels  this review is for hide above  for starters  the restaurant itself is gorgeous  with a spectacular staircase leading you to the upper dining room  this perfectly sets the stage for a wonderful dinner  our tasting menu with wine pairing was nothing short of phenomenal  each of the dishes was masterfully prepared and presented and the wines perfectly matched  service was superb with all of the attendants making sure that we were comfortable throughout our stay  as an added bonus  we were invited to meet the staff and tour the kitchen  what a wonderful way to end a great dining experience  definitely worth a visit if you are looking for something special 
8	5.0	Had lunch with my hubbyFive star. It's new restaurant in town. As its name Hide, à main door is hidden. It's concept is very unique. They have phone charger that's hidden in each dining table. I'm pretty sure lots hidden features are in this venue.We had a la cart lunch menu. The interior reminds me of egg shell. Appetizer is with raw but carefully seasoned vegetables with broth. It's clean food and new but trendy concept. It's colorful and table wear is also pretty. Broth is mild and pretty sure lots hidden taste is involved. I had pork for main that was nicely decorated and presented. It wasn't heavy, lightly cooked. Bit of crunchiness was the accent. Chocolate egg cream dessert was also unique as its  content is hidden that was unforgettable I remember exactly how it tasted with cream and chocolate. The view of Green Park is plus. Venue concept as well as the service and whole customer experience is superb. 5 stars with no further justification.	had lunch with my hubbyfive star  it s new restaurant in town  as its name hide    main door is hidden  it s concept is very unique  they have phone charger that s hidden in each dining table  i m pretty sure lots hidden features are in this venue we had a la cart lunch menu  the interior reminds me of egg shell  appetizer is with raw but carefully seasoned vegetables with broth  it s clean food and new but trendy concept  it s colorful and table wear is also pretty  broth is mild and pretty sure lots hidden taste is involved  i had pork for main that was nicely decorated and presented  it wasn t heavy  lightly cooked  bit of crunchiness was the accent  chocolate egg cream dessert was also unique as its  content is hidden that was unforgettable i remember exactly how it tasted with cream and chocolate  the view of green park is plus  venue concept as well as the service and whole customer experience is superb  5 stars with no further justification 
9	4.0	I hadn't been here since a few incarnations and so stopped in before dinner a few weeks ago to grab a cocktail.  Interestingly, they do not have a full liquor license so you have to order some amount of food with your drink but the olives are made for that need and perfect to the role.  I had the blunderbuss which was solid but sadly had to run before trying anything else.	i hadn t been here since a few incarnations and so stopped in before dinner a few weeks ago to grab a cocktail   interestingly  they do not have a full liquor license so you have to order some amount of food with your drink but the olives are made for that need and perfect to the role   i had the blunderbuss which was solid but sadly had to run before trying anything else 
