,artist_ids,genres_all
0,3TVXtAsR1Inumwj472S9r4,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
1,15UsOTVnJzReFVN1VCnxy4,"emo rap, miami hip hop"
2,0Y5tJX1MQlPlqiwlOH1tJY,"pop, pop rap, rap"
3,66CXWjxzNUsdJxJ2JdwvnR,"dance pop, pop, post-teen pop"
4,5f7VJjfbwm532GiveGC0ZK,"atl hip hop, atl trap, rap, trap music"
5,246dkjvS1zLTtiykXe5h60,"pop, rap"
6,4MCBfE4596Uoi2O4DtmEMz,rap
7,46SHBwWsqBkxI7EeeBEQG7,"miami hip hop, pop rap, rap, trap music"
8,0hCNtLu0JehylgoiP8L4Gh,"dance pop, hip pop, pop, pop rap"
9,55Aa2cqylxrFIXC767Z865,"hip hop, pop rap, rap, trap music"
10,5K4W6rqBFWDnAN6FQUkS6x,"pop rap, rap"
11,4kYSro6naA4h99UJvo89HB,"pop, rap"
12,6qqNVTkY8uBg9cP3Jd7DAH,"electropop, pop"
13,2hlmm7s2ICUX0LVIhVFlZQ,"atl hip hop, hip hop, rap, trap music"
14,20sxb77xiYeusSH8cVdatc,"pop, pop rap, rap, trap music"
15,4O15NlyKLIASxsJ0PrXPfz,"rap, trap music"
16,1i8SpTcr7yvPOmcqrbnVXY,"reggaeton, trap latino"
17,13y7CgLHjMVRMDqxdx0Xdo,"atl hip hop, dirty south rap, hip hop, pop, pop rap, rap, southern hip hop, trap music"
18,1zNqQNIdeOUZHb8zbZRFMX,trap music
19,0VRj0yCOv2FXJNP47XQnx5,"atl hip hop, hip hop, pop, pop rap, rap, trap music"
20,1i8SpTcr7yvPOmcqrbnVXY,"reggaeton, trap latino"
21,4DdkRBBYG6Yk9Ka8tdJ9BW,"atl hip hop, trap music"
22,13y7CgLHjMVRMDqxdx0Xdo,"atl hip hop, dirty south rap, hip hop, pop, pop rap, rap, southern hip hop, trap music"
23,1zNqQNIdeOUZHb8zbZRFMX,trap music
24,1URnnhqYAYcrqrcwql10ft,"atl hip hop, hip hop, pop, pop rap, rap, trap music"
25,0VRj0yCOv2FXJNP47XQnx5,"atl hip hop, hip hop, pop, pop rap, rap, trap music"
26,0iEtIxbK0KxaSlF7G42ZOp,"hip hop, pop, pop rap, rap, trap music"
27,4q3ewBCX7sLwd24euuV69X,"reggaeton, trap latino"
28,26VFTg2z8YR0cCuwLzESi2,"dance pop, electropop, etherpop, indie poptimism, pop, post-teen pop"
29,6l3HvQ5sa6mXTsMTB19rO5,"conscious hip hop, hip hop, pop rap, rap"
30,06HL4z0CvFAxyc27GXpf02,"dance pop, pop, post-teen pop"
31,5pKCCKE2ajJHZ9KAiaK11H,"dance pop, pop, post-teen pop, r&b, urban contemporary"
32,2R21vXR83lH98kGeO99Y66,"reggaeton flow, trap latino"
33,137W8MRPWKqSmrBGDBFSop,"hip hop, pop, pop rap, rap, southern hip hop, trap music"
34,6eUKZXaKkcviH0Ku9w2n3V,pop
35,4xRYI6VqpkE3UwrDrAZL8L,"conscious hip hop, hip hop, pop rap, rap"
36,7d3WFRME3vBY2cgoP38RDo,"rap, trap music"
37,64KEffDW9EtZ1y2vBYgq8T,"brostep, edm, egyptian pop, pop, progressive electro house"
38,3wyVrVrFCkukjdVIdirGVY,"emo rap, miami hip hop, trap music"
39,6ZjFtWeHP9XN7FeKSUe80S,"adult standards, christmas, easy listening"
40,13ubrt8QOOCPljQ2FL1Kca,"east coast hip hop, hip hop, pop, pop rap, rap, trap music"
41,26AHtbjWKiwYzsoGoUZq53,a cappella
42,0du5cEVh5yTK9QJze8zA0C,"pop, post-teen pop"
43,06HL4z0CvFAxyc27GXpf02,"dance pop, pop, post-teen pop"
44,5pKCCKE2ajJHZ9KAiaK11H,"dance pop, pop, post-teen pop, r&b, urban contemporary"
45,2R21vXR83lH98kGeO99Y66,"reggaeton flow, trap latino"
46,137W8MRPWKqSmrBGDBFSop,"hip hop, pop, pop rap, rap, southern hip hop, trap music"
47,6eUKZXaKkcviH0Ku9w2n3V,pop
48,4xRYI6VqpkE3UwrDrAZL8L,"conscious hip hop, hip hop, pop rap, rap"
49,7d3WFRME3vBY2cgoP38RDo,"rap, trap music"
50,6ZjFtWeHP9XN7FeKSUe80S,"adult standards, christmas, easy listening"
51,0c173mlxpT3dSFRgMO8XPh,"detroit hip hop, hip hop, pop, pop rap, rap, southern hip hop, trap music"
52,4iHNK0tOyZPYnBU7nGAgpQ,"dance pop, pop, r&b, urban contemporary"
53,1HY2Jd0NmPuamShAr6KMms,"dance pop, pop"
54,1pPmIToKXyGdsCF6LmqLmI,"atl hip hop, hip hop, pop, pop rap, rap, southern hip hop, trap music"
55,7n2wHs1TKAczGzO7Dd2rGr,"canadian pop, dance pop, pop, post-teen pop, viral pop"
56,4IVAbR2w4JJNJDDRFP3E83,"alternative r&b, atl hip hop, hip hop, pop, pop rap, rap, trap music"
57,1Mxqyy3pSjf8kZZL4QVxS0,"adult standards, christmas, easy listening, lounge"
58,2wY79sveU1sp5g7SokKOiI,"pop, post-teen pop"
59,69GGBxA162lTqCwzJG5jLp,"edm, electropop, pop, tropical house"
60,5zctI4wO9XSKS8XwcnqEHk,"rap, rap conscient, trap music, vapor trap"
61,2EMAnMvWE2eb56ToJVfCWs,"hip hop, pop, pop rap, r&b, rap, trap music"
62,2qxJFvFYMEDqd7ui6kSAcq,"complextro, dance pop, edm, german techno, pop, post-teen pop, tropical house"
63,21WS9wngs9AqFckK7yYJPM,"hip hop, pop, pop rap, rap, trap music"
64,7z5WFjZAIYejWy0NI5lv4T,"contemporary country, country road"
65,5ZsFI1h6hIdQRw2ti0hz81,"dance pop, electropop, pop, post-teen pop"
66,3fMbdgg4jU18AjLCKBhRSm,pop
67,1sBkRIssrMs1AbVkOJbc7a,"dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap music"
68,3FfvYsEGaIb52QPXhg4DcH,"contemporary country, country, country road"
69,7v4imS0moSyGdXyLgVTIV7,"adult standards, christmas"
