	artist_names	popularity_score	track_names	genres_all	acousticness	danceability	duration_ms	energy	instrumentalness	liveness	loudness	mode	speechiness	tempo	time_signature	valence
0	Travis Scott	94	SICKO MODE	pop, pop rap, rap	0.00513	0.8340000000000001	312820	0.73	0.0	0.124	-3.714	1	0.222	155.00799999999998	4	0.446
1	Travis Scott	84	STARGAZING	pop, pop rap, rap	0.009470000000000001	0.48700000000000004	270715	0.789	4.05e-06	0.18899999999999997	-3.69	1	0.044000000000000004	150.007	4	0.0564
2	Travis Scott	82	BUTTERFLY EFFECT	pop, pop rap, rap	0.0531	0.763	190557	0.628	0.0	0.114	-5.85	1	0.05	140.958	4	0.193
3	Sheck Wes	92	Mo Bamba	hip hop, pop rap, rap, southern hip hop, trap music, underground hip hop	0.19399999999999998	0.7290000000000001	183907	0.625	0.009859999999999999	0.248	-5.266	1	0.0315	146.034	4	0.261
4	Sheck Wes	63	Do That	hip hop, pop rap, rap, southern hip hop, trap music, underground hip hop	0.263	0.782	170435	0.508	0.0706	0.157	-7.153	1	0.231	137.954	4	0.35600000000000004
5	Sheck Wes	63	Chippi Chippi	hip hop, pop rap, rap, southern hip hop, trap music, underground hip hop	0.0734	0.677	229400	0.5489999999999999	0.0	0.0916	-7.165	1	0.21100000000000002	77.523	4	0.262
6	Sheck Wes	59	Mindfucker	hip hop, pop rap, rap, southern hip hop, trap music, underground hip hop	0.302	0.804	180800	0.282	8.67e-06	0.151	-10.543	1	0.342	151.988	4	0.0723
7	Halsey	96	Without Me	dance pop, electropop, etherpop, indie poptimism, pop, post-teen pop	0.297	0.752	201661	0.488	9.11e-06	0.0936	-7.05	1	0.0705	136.041	4	0.5329999999999999
8	Halsey	53	Alone - Clean Bandit MFF Remix	dance pop, electropop, etherpop, indie poptimism, pop, post-teen pop	0.0571	0.797	203636	0.753	0.00413	0.24	-6.042000000000001	0	0.0622	126.015	4	0.67
9	Meek Mill	91	Going Bad (feat. Drake)	pop, pop rap, rap, trap music	0.259	0.889	180522	0.496	0.0	0.252	-6.365	0	0.0905	86.00299999999999	4	0.544
10	Meek Mill	76	Uptown Vibes (feat. Fabolous & Anuel AA)	pop, pop rap, rap, trap music	0.0459	0.655	190412	0.835	0.0	0.409	-3.451	1	0.059000000000000004	91.035	4	0.165
11	Meek Mill	73	Championships	pop, pop rap, rap, trap music	0.0786	0.488	261743	0.8029999999999999	0.0	0.215	-4.165	0	0.205	167.329	4	0.319
12	Meek Mill	71	100 Summers	pop, pop rap, rap, trap music	0.171	0.48100000000000004	163834	0.483	0.0	0.0964	-8.174	0	0.331	79.012	4	0.45299999999999996
13	Meek Mill	52	Uptown Vibes (feat. Fabolous & Anuel AA)	pop, pop rap, rap, trap music	0.044000000000000004	0.654	190412	0.8290000000000001	0.0	0.332	-3.53	1	0.045	91.064	4	0.196
14	Meek Mill	50	Almost Slipped	pop, pop rap, rap, trap music	0.198	0.48700000000000004	246793	0.644	0.0	0.228	-6.388999999999999	1	0.281	164.53799999999998	4	0.428
15	Meek Mill	47	100 Summers	pop, pop rap, rap, trap music	0.17600000000000002	0.618	163834	0.485	0.0	0.0951	-8.227	0	0.28	111.869	5	0.45899999999999996
16	Lil Baby	89	Drip Too Hard	atl hip hop, atl trap, rap, trap music	0.0945	0.9	145603	0.653	0.0	0.528	-6.962000000000001	0	0.289	112.50299999999999	4	0.39899999999999997
17	Lil Baby	72	Realist In It (feat. Gucci Mane & Offset)	atl hip hop, atl trap, rap, trap music	0.207	0.932	222958	0.6579999999999999	0.0	0.11800000000000001	-7.707999999999999	0	0.353	109.973	4	0.695
18	Lil Baby	70	Chastised	atl hip hop, atl trap, rap, trap music	0.0912	0.778	123429	0.6459999999999999	0.0	0.166	-4.657	1	0.0345	140.04	4	0.177
19	Lil Baby	67	Never Needed No Help	atl hip hop, atl trap, rap, trap music	0.0467	0.713	195635	0.495	0.0	0.215	-6.885	0	0.11	130.04399999999998	4	0.426
20	Lil Baby	64	Throwing Shade	atl hip hop, atl trap, rap, trap music	0.0119	0.794	192382	0.447	0.00017900000000000001	0.109	-9.253	1	0.152	139.94899999999998	4	0.18899999999999997
21	Lil Baby	63	Leaked	atl hip hop, atl trap, rap, trap music	0.00352	0.797	192045	0.375	0.0	0.0767	-7.5520000000000005	0	0.146	139.999	4	0.171
22	Lil Baby	58	Fit In	atl hip hop, atl trap, rap, trap music	0.316	0.877	213990	0.444	0.0	0.134	-8.47	0	0.451	144.06	4	0.653
23	Flipp Dinero	89	Leave Me Alone	rap, trap music, underground hip hop, vapor trap	0.107	0.792	195637	0.743	0.0	0.183	-2.806	1	0.0851	150.024	4	0.742
24	XXXTENTACION	92	SAD!	emo rap, miami hip hop	0.258	0.74	166606	0.613	0.00372	0.12300000000000001	-4.88	1	0.145	75.023	4	0.473
25	XXXTENTACION	75	I don’t even speak spanish lol - feat. Rio Santana, Judah, Carlos Andrez	emo rap, miami hip hop	0.11800000000000001	0.767	192229	0.561	0.0	0.0737	-7.417999999999999	0	0.0509	90.021	4	0.542
