	artist_ids	artist_names	popularity_score	track_ids	track_names	genres_all	acousticness	analysis_url	danceability	duration_ms	energy	instrumentalness	key	liveness	loudness	mode	speechiness	tempo	time_signature	track_href	type	uri	valence
0	0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	94	2xLMifQCjDGFmkHkpNLD9h	SICKO MODE	pop, pop rap, rap	0.00513	https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h	0.834	312820	0.73	0.0	8	0.124	-3.714	1	0.222	155.008	4	https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h	audio_features	spotify:track:2xLMifQCjDGFmkHkpNLD9h	0.446
1	0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	84	7wBJfHzpfI3032CSD7CE2m	STARGAZING	pop, pop rap, rap	0.00947	https://api.spotify.com/v1/audio-analysis/7wBJfHzpfI3032CSD7CE2m	0.487	270715	0.789	4.05e-06	8	0.189	-3.69	1	0.044	150.007	4	https://api.spotify.com/v1/tracks/7wBJfHzpfI3032CSD7CE2m	audio_features	spotify:track:7wBJfHzpfI3032CSD7CE2m	0.0564
2	0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	82	2cYqizR4lgvp4Qu6IQ3qGN	BUTTERFLY EFFECT	pop, pop rap, rap	0.0531	https://api.spotify.com/v1/audio-analysis/2cYqizR4lgvp4Qu6IQ3qGN	0.763	190557	0.628	0.0	11	0.114	-5.85	1	0.05	140.958	4	https://api.spotify.com/v1/tracks/2cYqizR4lgvp4Qu6IQ3qGN	audio_features	spotify:track:2cYqizR4lgvp4Qu6IQ3qGN	0.193
3	2RDOrhPqAM4jzTRCEb19qX	Sheck Wes	92	1xzBco0xcoJEDXktl7Jxrr	Mo Bamba	hip hop, pop rap, rap, southern hip hop, trap music, underground hip hop	0.194	https://api.spotify.com/v1/audio-analysis/1xzBco0xcoJEDXktl7Jxrr	0.729	183907	0.625	0.00986	4	0.248	-5.266	1	0.0315	146.034	4	https://api.spotify.com/v1/tracks/1xzBco0xcoJEDXktl7Jxrr	audio_features	spotify:track:1xzBco0xcoJEDXktl7Jxrr	0.261
4	2RDOrhPqAM4jzTRCEb19qX	Sheck Wes	63	3iVq1zq46q0auo3VwixXFe	Do That	hip hop, pop rap, rap, southern hip hop, trap music, underground hip hop	0.263	https://api.spotify.com/v1/audio-analysis/3iVq1zq46q0auo3VwixXFe	0.782	170435	0.508	0.0706	9	0.157	-7.153	1	0.231	137.954	4	https://api.spotify.com/v1/tracks/3iVq1zq46q0auo3VwixXFe	audio_features	spotify:track:3iVq1zq46q0auo3VwixXFe	0.356
5	2RDOrhPqAM4jzTRCEb19qX	Sheck Wes	63	2iPTGIzI5LBeEVz2q5xYLF	Chippi Chippi	hip hop, pop rap, rap, southern hip hop, trap music, underground hip hop	0.0734	https://api.spotify.com/v1/audio-analysis/2iPTGIzI5LBeEVz2q5xYLF	0.677	229400	0.549	0.0	8	0.0916	-7.165	1	0.211	77.523	4	https://api.spotify.com/v1/tracks/2iPTGIzI5LBeEVz2q5xYLF	audio_features	spotify:track:2iPTGIzI5LBeEVz2q5xYLF	0.262
6	2RDOrhPqAM4jzTRCEb19qX	Sheck Wes	59	3Ahh4FUw5EfmjMzOBjjnwY	Mindfucker	hip hop, pop rap, rap, southern hip hop, trap music, underground hip hop	0.302	https://api.spotify.com/v1/audio-analysis/3Ahh4FUw5EfmjMzOBjjnwY	0.804	180800	0.282	8.67e-06	1	0.151	-10.543	1	0.342	151.988	4	https://api.spotify.com/v1/tracks/3Ahh4FUw5EfmjMzOBjjnwY	audio_features	spotify:track:3Ahh4FUw5EfmjMzOBjjnwY	0.0723
7	26VFTg2z8YR0cCuwLzESi2	Halsey	96	5p7ujcrUXASCNwRaWNHR1C	Without Me	dance pop, electropop, etherpop, indie poptimism, pop, post-teen pop	0.297	https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C	0.752	201661	0.488	9.11e-06	6	0.0936	-7.05	1	0.0705	136.041	4	https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C	audio_features	spotify:track:5p7ujcrUXASCNwRaWNHR1C	0.533
8	26VFTg2z8YR0cCuwLzESi2	Halsey	53	483v27PMHWBtPFyXQ3rElQ	Alone - Clean Bandit MFF Remix	dance pop, electropop, etherpop, indie poptimism, pop, post-teen pop	0.0571	https://api.spotify.com/v1/audio-analysis/483v27PMHWBtPFyXQ3rElQ	0.797	203636	0.753	0.00413	9	0.24	-6.042	0	0.0622	126.015	4	https://api.spotify.com/v1/tracks/483v27PMHWBtPFyXQ3rElQ	audio_features	spotify:track:483v27PMHWBtPFyXQ3rElQ	0.67
9	20sxb77xiYeusSH8cVdatc	Meek Mill	91	2IRZnDFmlqMuOrYOLnZZyc	Going Bad (feat. Drake)	pop, pop rap, rap, trap music	0.259	https://api.spotify.com/v1/audio-analysis/2IRZnDFmlqMuOrYOLnZZyc	0.889	180522	0.496	0.0	4	0.252	-6.365	0	0.0905	86.003	4	https://api.spotify.com/v1/tracks/2IRZnDFmlqMuOrYOLnZZyc	audio_features	spotify:track:2IRZnDFmlqMuOrYOLnZZyc	0.544
